"model_name","mean.IC","min.IC","max.IC","mean.Pa","min.Pa","max.Pa","mean.D","min.D","max.D","mean.P","min.P","max.P"
"RW","0.18","0","0.42",NA,NA,NA,NA,NA,NA,"0.82","0.58","1"
"RW_obs","0.16","0","0.41",NA,NA,NA,NA,NA,NA,"0.84","0.59","1"
"AR","0.08","0","0.21","0.04","0.02","0.06",NA,NA,NA,"0.89","0.74","0.95"
"wtrtemp_min","0.05","0","0.13","0.05","0.02","0.08","0.06","0","0.16","0.84","0.75","0.91"
"wtrtemp_min_lag","0.04","0","0.11","0.05","0.03","0.1","0.05","0","0.18","0.86","0.76","0.93"
"wtrtemp_MA7","0.05","0","0.12","0.04","0.02","0.09","0.05","0.01","0.1","0.86","0.78","0.92"
"schmidt_med_diff","0.07","0","0.21","0.04","0.02","0.11","0.01","0","0.03","0.88","0.74","0.94"
"wnd_dir_2day_lag","0.07","0","0.17","0.04","0.02","0.08","0.06","0.02","0.12","0.83","0.7","0.9"
"GDD","0.06","0","0.15","0.06","0.04","0.12","0.01","0","0.03","0.87","0.79","0.91"
"schmidt_and_wnd","0.06","0","0.18","0.05","0.02","0.11","0.07","0.02","0.13","0.82","0.69","0.89"
"schmidt_max_lag","0.08","0","0.2","0.05","0.02","0.09","0.05","0.01","0.15","0.83","0.69","0.91"
"precip","0.07","0","0.2","0.04","0.02","0.06","0.01","0","0.07","0.88","0.72","0.94"
"schmidt_and_precip","0.07","0","0.2","0.04","0.02","0.12","0.02","0","0.07","0.87","0.73","0.94"
"wnd_and_precip","0.06","0","0.17","0.04","0.02","0.08","0.07","0.02","0.17","0.82","0.67","0.88"
"wnd_and_GDD","0.05","0","0.16","0.07","0.04","0.13","0.05","0.01","0.09","0.83","0.72","0.88"
"all_models","0.08","0","0.2","0.05","0.02","0.09","0.04","0.01","0.11","0.85","0.71","0.93"
